,Job Title,Salary Estimate,Rating,Company Name,Description,Location,size,type,sector,founded,industry,revenue
139,Data Scientist (Mid),$73K - $137K (Glassdoor est.),5.0,"Envision
5.0","Design, implement and optimize algorithms for unsupervised and supervised learning based on structured and unstructured data. Develop powerful business insights from social, marketing, industrial data and public policy using advanced machine learning techniques. Work closely with the software engineering team to productize analytic application. Collaborate with system integration and data warehouse engineers on data extraction and data cleaning. Work in a highly interactive, team-oriented environment.

Project Details: Customer analytics, pricing, demand forecast, and risk models. Results will drive business decisions and significant revenue.
Some maintenance work but mostly new development work.
MUST HAVES:
Statistical and analytical sense, ability to communicate effectively, either R or Python, statical models, model inference/ interpretation, and machine learning algorithm and package. Creativity and initiative, critical thinking skills.

Good to have: SQL, GCP, AWS, R-shiny, Dash, and operation research.
Alternative Skills they would consider: Related fields where data science techniques are used, including agriculture, economics/econometrics, biology, math, and physics.
Requires a bachelor’s degree in a STEM or related field and 4 years of experience, or a Master’s degree in same with 2 years, or a PhD.
Open to seeing someone right out of school if they have a PhD. PhD will have experience at university so no work experience required. Flexible about this.
Show Less",Illinois,Unknown,Unknown / Non-Applicable,-1,Company - Private,-1,-1
140,Senior Data Analyst/Data Analyst,Employer Provided Salary:$58K - $74K,4.1,"University of Nevada, Reno
4.1","The University of Nevada, Reno (UNR) appreciates your interest in employment at our growing institution. We want your application process to go smoothly and quickly. Final applications must be submitted prior to the close of the recruitment.
If you need assistance or have questions regarding the application process, please contact our recruitment helpline at (775) 784-1495 or
jobs@unr.edu
. For UNR Med professional job postings, please contact the Office of Professional Recruitment at (775) 784-6778.
Job Description
The University of Nevada, Reno, Research & Innovation Division (R&I), is recruiting for a Senior Data Analyst or Data Analyst, depending on experience. This position reports to the Director of Business Operations, with dotted lines to the Associate Vice President of Research and Associate Vice President of Research Administration.

The Data Analyst is responsible for the management and development of computer and software-related tasks for departments under the Research and Innovation (R&I). This position has a special emphasis on the management of research data, implementation and analysis of data collected through research-related enterprise software systems, and supporting and providing access to these systems.
Duties include:
Generating standard and special reports
Internal application support
Data extraction and analysis
Query development Database management
Configuring and analyzing information systems
Working with end users to determine strategies and operational needs
Working closely with UNR’s Office of Information Technology (OIT) to provide technical leadership, direction, and training in database and information systems within R&I
Determining needs of various users and highly technical information for priority and resource application

The Senior Data Analyst, in addition to the above, will design, develop, and/or implements new software and systems, performs systems testing, and acts as a liaison between the R&I, UNR Office of Information Technology (OIT), System Administration functional leads and business analysts to develop, administer, and maintain databases, software, and informational systems.
Duties include:
Managing changes associated with system development and develops integrations with 3rd party vendor systems, and data conversions
Create relevant data models
Apply statistical methodology and interpret underlying data
Interpret disparate datasets and effectively communicates relevant findings
Develop services, infrastructure, and procedures for research data
Work with external agencies data
Analyze current trends in research funding and productivity
Work across multiple tools and frameworks to build automation and data workflow management
Required Qualifications - Candidates will be hired at the level that is comparable to their experience, knowledge, skills and abilities
Data Analyst
Bachelor’s Degree and two (2) years of related professional experience, OR a Master’s Degree and one (1) year of related professional experience.
Related Experience: coded data system analysis, data extraction, and/or custom reporting or administration of a large complex software application such as an SQL or Windows server, or institutional repositories
Senior Data Analyst
Bachelor’s Degree and four (4) years of related professional experience, OR a Master’s Degree and two (2) years of related professional experience.
Related Experience: Coded data system analysis, data extraction, and/or custom reporting from a large complex software application such as an SQL server; business application data analysis; software development; complex financial information systems; experience in applying statistical methodology for understanding the meaning within the data.

Preferred Qualifications
Candidates with the following experience are encouraged to apply:
Experience developing web applications utilizing ASP.NET MVC, C#, JavaScript, HTML5, and CSS
Advanced knowledge of SQL Server database including database design, database administration and developing complex SQL queries
Experience in data extraction and transformation from various information systems and data sources
Knowledge of REST and RPC APIs
Experience in ERP and/or financial systems
Compensation Grade
Data Analyst - Comp Grade B. Estimated Salary - $58,000-$74,000
Senior Data Analyst- Comp Grade C. Estimated Salary Range - $75,000-$95,000
To view the salary schedule for this position, please visit:
Salary Schedules
and select Administrative Faculty by Grade.
Salary is competitive and commensurate with related education and experience.

Remarkable Retirement
Our retirement plan is beyond compare. Your 15.50% contribution is generously matched by the University. With the faculty retirement plan, you are 100% vested your first day. Sit back and watch your retirement dollars grow! All permanent employees on an annual ""A"" or ""B"" contract who are employed at least 50% full-time are eligible to participate in the NSHE retirement program unless they are members of PERS of Nevada.
Perks of working at UNR
Health insurance options including dental and vision -
Health Insurance
Generous annual and sick leave and life insurance–
Faculty Benefits
E. L. Wiegand Fitness Center offers an annual or semester membership and family membership options.
E.L. Wiegand Fitness Center
Mountain EAP
supports employees (and eligible dependents) through life's difficult moments. Mountain EAP is located in Reno and specializes in counseling and advising services for personal or interpersonal issues.
Several Diversity Committees and Affinity Groups focusing on campus-wide diversity initiatives to ensure we are working to create a diverse and welcoming campus climate.
Diversity Groups
Faculty Senate is the principal representing body for faculty. Its membership includes representatives from each academic and administrative major unit of the University.
Faculty Senate
No state income tax
Grants-in-aid
The University is proud to provide a reduced-rate tuition benefit to faculty and qualified dependents. Faculty can take up to six credits per semester at a reduced rate. Dependents of faculty have unlimited credits, but in order to be eligible children must be unmarried and under the age of 24 and must receive at least 50% of their financial support from the employee and/or employee’s spouse or domestic partner.
Faculty Grant-in-Aid
Faculty Dual Career Assistance Program
The University of Nevada, Reno recognizes the importance of addressing dual-career couples’ professional needs. We offer a dual career assistance program to newly hired faculty spouses/partners that provides resources and assists them to identify career opportunities in Northern Nevada.
Dual Career Assistance Program
Department Information
Research & Innovation focuses on enhancing the research enterprise by supporting collaboration and innovation.
Contact Information
Asta Ratliff - astar@unr.edu
Exempt
Yes
Full-Time Equivalent
100.0%
Required Attachment(s)
Please note, once you submit your application the only attachment/s viewable to you will be the attachment/s to the resume/CV section of the application. Any additional required attachment/s to the cover letter, references, additional documents sections of the application, will not be viewable to you after you submit your application. All uploaded attachment/s will be on the application for the committee to review. To request updates to attachments, prior to the committee review of applications, please contact the candidate helpdesk at
jobs@unr.edu
.
Please attach the following documents to your application
1) Resume/CV
2) Cover Letter
3) Contact information for three professional references
4) Please write a brief statement (one page maximum) about how you would contribute toward our mission of creating a culturally inclusive environment in the role for which you are applying.
This posting is open until filled.
Qualified individuals are encouraged to apply immediately. This search will close without notice when a sufficient number of applications are received or a hiring decision has been made.
Posting Close Date
07/31/2022
Note to Applicant
A background check will be conducted on the candidate(s) selected for hire.

HR will attempt to verify academic credentials upon receipt of hiring documents. If the academic credentials cannot be verified, HR will notify the faculty member that an official transcript of their highest degree must be submitted within thirty days of the faculty member’s first day of employment.

References will be contacted at the appropriate phase of the recruitment process.
Applicants hired on a federal contract may be subject to E-Verify.

As part of the hiring process, applicants for positions in the Nevada System of Higher Education may be required to demonstrate the ability to perform job-related tasks.

For positions that require driving, evidence of a valid driver's license will be required at the time of employment and as a condition of continued employment.

Schedules are subject to change based on organizational needs.
University of Nevada, Reno
Show Less",Illinois,501 to 1000 Employees,Colleges & Universities,$100 to $500 million (USD),College / University,Education,-1
141,Statistical Data Scientist,$66K - $118K (Glassdoor est.),4.1,"Bayer
4.1","At Bayer we’re visionaries, driven to solve the world’s toughest challenges and striving for a world where ,Health for all, Hunger for none’ is no longer a dream, but a real possibility. We’re doing it with energy, curiosity and sheer dedication, always learning from unique perspectives of those around us, expanding our thinking, growing our capabilities and redefining ‘impossible’. There are so many reasons to join us. If you’re hungry to build a varied and meaningful career in a community of brilliant and diverse minds to make a real difference, there’s only one choice.

Statistical Data Scientist

YOUR TASKS AND RESPONSIBILITIES

The primary responsibilities of this role, Statistical Data Scientist, are to:

Identify and help solve problems related to experiment design and statistical analyses; identify limitations for improvement with existing methodologies using classical and/or modern statistical methodologies;
Perform inferential analyses, including documentation, to support decision-making and patent submissions, publications, and scientific presentations;
Explain technical and non-technical aspects of their work to other statisticians and stakeholders, both orally and in writing;
Partner with statisticians, data scientists and data engineers for solving complex problems;
This role is located in West Sacramento, CA. Relocation assistance may be provided for this role.
Visa sponsorship may be offered for this role.

WHO YOU ARE

Your success will be driven by your demonstration of our life values. more specifically related to this position, Bayer seeks an incumbent who possesses the following:

Required Qualifications:

Must have one of the following:
Bachelor’s degree with at least seven years of relevant experience, or
Master's degree with at least five years of relevant experience, or
Ph.D. with at least one year of relevant experience in Statistics, Biostatistics, Mathematics or equivalent;
Demonstrated proficiency in wide range of statistical techniques including (but not limited to) experimental design, general and generalized linear mixed models, non-linear mixed models, multivariate statistics, non-parametric analysis, Bayesian statistics, and/or ML modeling for imagery data;
Strong computational skills and experience processing data, and visualizing results in R, Python, or other advanced computation software;
Strong communication skills to include presentations and delivery of complex quantitative analyses in a clear, concise, and actionable manner to extended team and small groups of key stakeholders;
Ability to actively engage with internal partners and external collaborators to align project outcomes with quantitative success measures.

Preferred Qualifications:

Biologics background or similar;
Solid experience in AWS or Google Cloud;
Entry-level proficiency in machine learning algorithms and concepts.

YOUR APPLICATION



Bayer offers a wide variety of competitive compensation and benefits programs. If you meet the requirements of this unique opportunity, and want to impact our mission Science for a better life, we encourage you to apply now. Be part of something bigger. Be you. Be Bayer.
To all recruitment agencies: Bayer does not accept unsolicited third party resumes.

Bayer is an Equal Opportunity Employer/Disabled/Veterans

Bayer is committed to providing access and reasonable accommodations in its application process for individuals with disabilities and encourages applicants with disabilities to request any needed accommodation(s) using the contact information below.




IMPORTANT NOTE for POTENTIAL US CANDIDATES: Bayer expects its employees to be fully vaccinated against COVID-19. Bayer active employees are also expected to disclose their vaccination status and if fully vaccinated, provide proof of vaccination status to Occupational Medicine. Bayer defines fully vaccinated in alignment with CDC which is two weeks after completing the two-dose vaccine regimen or two weeks after completing the one-dose regimen. Additionally, Bayer employees are also required to comply with state, local and customer requirements.




Location:
United States : California : West Sacramento

Division:
Crop Science

Reference Code:
641221




Contact Us


Email:
hrop_usa@bayer.com
Apply Now: click Apply Now
Show Less",Illinois,10000+ Employees,Company - Private,Pharmaceutical & Biotechnology,1863,Biotech & Pharmaceuticals,$10+ billion (USD)
142,"Data Scientist, Consultant",$85K - $167K (Glassdoor est.),4.1,"Blue Shield of California
4.1","Blue Shield of California’s mission is to ensure all Californians have access to high-quality health care at a sustainably affordable price. We are transforming health care in a way that truly serves our nonprofit mission by lowering costs, improving quality, and enhancing the member and physician experience.
To fulfill our mission, we must ensure a diverse, equitable, and inclusive environment where all employees can be their authentic selves and fully contribute to meet the needs of the multifaceted communities we serve. Our comprehensive approach to diversity, equity, and inclusion combines a focus on our people, processes, and systems with a deep commitment to promoting social justice and health equity through our products, business practices, and presence as a corporate citizen.
Blue Shield has received awards and recognition for being a certified Great Place to Work, best place to work for LGBTQ equality, leading disability employer, one of the best companies for women to advance, Bay Area’s top companies in volunteering & giving, and one of the world’s most ethical companies. Here at Blue Shield of California, we are striving to make a positive change across our industry and the communities we live in – join us!

Your Role

The Advanced Analytics team develops and governs machine learning pipelines and applications supporting a wide array of use cases. We partner with business stakeholders to apply advanced techniques including text analytics of customer feedback data, complex modeling of clinical disease progression, and geospatial analysis of populations leveraging social determinants of health. The Data Scientist will report to the Director of Advanced Analytics. In this role, you will work with business stakeholders, data engineers, and other IT partners to ideate and build analytics-enabled solutions. You will perform research, inform design decisions, prototype data pipelines, and build, deploy and govern models to monitor their impact.
Your Work

In this role, you will:

Collaborate with product owners and business stakeholders to identify opportunities to optimize processes and decision-making
Perform data exploration using a combination of statistical programming languages (R, Python, SAS, Julia, Matlab, etc.) and visualization tools/frameworks (Tableau, D3, ggplot, matplotlib) to develop a deep understanding of the signal-to-noise ratio in the dataset
Partner with the data engineering team to support rapid prototyping of training data set using a combination of tools and scripting languages (SQL, Apache Spark, etc.)
Perform simple to complex feature engineering routines using the appropriate techniques for the given data and business problem (statistical transformations, encoding categorical variables, time series decomposition, TF-IDF, etc.)
Develop robust and reproducible model validation procedures to handle the bias-variance trade-offs, and generate the appropriate range of model performance metrics for evaluation and monitoring (AUC, precision, recall, R-squared, etc.)

Perform model validation and implement appropriate procedures to promote transparency and safeguard against algorithmic bias
Deploy models for multiple consumption patterns and monitor for model drift

#dice

Your Knowledge and Experience
Requires a bachelor’s degree in mathematics, statistics, computer science, or equivalent quantitative scientific discipline
Requires at least 3 years of professional Data Science or ML experience; or a Ph.D. degree in operations research, applied statistics, data mining, machine learning, or other quantitative disciplines
Requires high proficiency in Python, R, SAS, Julia or equivalent statistical programming language
Requires high proficiency in scalable data transformation techniques using SQL, Spark or equivalent
Experience working with data in relational databases, massively parallel processing platforms, NoSQL databases, and big data platforms preferred
Requires proficiency with version control and CI/CD tools
Proficiency demonstrating reproducible model flow and outputs using Jupyter, RMarkdown, or equivalent format preferred


Our Values
Honest. We hold ourselves to the highest ethical and integrity standards. We build trust by doing what we say we're going to do and by acknowledging and correcting where we fall short
Human. We strive to be our authentic selves, listening and communicating effectively, and showing empathy towards others by walking in their shoes
Courageous. We stand up for what we believe in and are committed to the hard work necessary to achieve our ambitious goals
Apply Now: click Apply Now
Show Less",Illinois,5001 to 10000 Employees,Nonprofit Organization,Insurance,1939,Insurance Carriers,$10+ billion (USD)
143,Senior Data Analyst,$60K - $126K (Glassdoor est.),2.9,"1-800-Flowers
2.9","Do you enjoy finding pieces of information/shaping it such that it can change the trajectory of a business? Are you driven to understand why customers do what they do, use data to discover the reasons, and even enabling others to do that efficiently? The 1-800-Flowers.com, Inc. group is seeking a Senior Data Analyst to join its team.

As a Senior Data Analyst, you will lead the approach to how data can/should be used to drive enterprise value. You will work with wide range of data elements including (but not limited to) purchase behaviors, website visits, campaign engagements, customer reviews, demographic info, as well as product and call center data. You will be an integral part of the Enterprise Analytics team reporting to the Senior Director of Enterprise Analytics in 1800Flowers, Inc. You will be the resident data expert who will help connect and leverage data, so that business insight and value can be easily derived at all levels to its fullest potential.

Responsibilities:
Work with business stakeholders and internal team members to identify gaps & opportunities on data elements that are needed to generate business insights/value,
Dig into our data-rich environment to find the needed pieces, perform exploratory analysis, and determine how the data elements should be used to drive insights/value
Assess 3rd part data, where needed, to prove how/where it can be used on its own/in tandem with internal data to dive value
Prepare business and technical requirements documents, and work with IT and other internal/external partners/stakeholders
When needed, design and develop proofs-of-concept to demonstrate potential
Conduct and coordinate user acceptance testing as/when needed
Proactively monitor/track quality of key data elements and work closely with data engineers and developers to quickly resolve data issues when they are detected; identify additional tools/technologies (if needed) and create a data quality monitoring program
Perform ad-hoc analysis as business questions arise, and translate data analytics into insights
To apply to this job, click Apply Now
Show Less",Illinois,1001 to 5000 Employees,Company - Public,Retail & Wholesale,1976,Other Retail Stores,$2 to $5 billion (USD)
144,Hedge Fund/Family Office Consultant - Data Scientist,$66K - $139K (Glassdoor est.),5.0,"Arootah LLC
5.0","Job Title: Hedge Fund/Family Office Consultant – Data Scientist
Join our experienced roster of consultants that support Hedge Funds and Family Offices. Arootah is a personal and professional development leader in the Investment and Financial Services industry. Our mission is to provide top business advisory services to our hedge fund client base. We focus our Business Consulting on the multi-faceted needs of Hedge Funds and Family Offices. Arootah was founded by Rich Bello, the Co-Founder and COO of the industry-leading $10 billion hedge fund, Blue Ridge Capital. Rich brings more than 30 years of experience, including leadership positions at Morgan Stanley, Tiger Management, and Ernst & Young.
Visit us at https://arootah.com/hedge-fund-advisory/ for more information.
WHO WE NEED:
Arootah is searching for experienced Data Scientists to consult to our highly prestigious client base. As a consultant, you will work with our Hedge Fund and Family Office clients to provide expert advice. Having previously served in this leadership role, you have specific, hands-on experience developing the data infrastructure, tools, and analysis to bolster and accelerate the investment process for a leading Hedge Fund or Family Office.
WHAT YOU WILL DO AS A CONSULTANT:
Provide advice and guidance to Arootah clients who seek help with their Data Science and Analysis needs. This will involve consulting to some of the leading Hedge Funds and Family Offices in the world and sharing your experience as a Data Scientist in helping clients with:
Best practice reviews.
Developing realistic and effective action plans.
Breaking apart goals into actionable steps.
Vendor selection and oversight.
Creating and implementing policies, procedures, and control measures.
Evaluating each client's advancement toward goal achievement through key performance indicators (KPIs) and scoring matrices.
Special projects or other areas of need.
AREAS OF EXPERTISE:
Scope, build, and lead the investment data science and analysis practice for the investment team of a Hedge Fund or Family Office.
Perform exploratory analyses as well as clustering and modeling of large structured and unstructured datasets in order to deploy production-ready models in the domains of lead scoring, look-a-like, retention and more, including post-deployment monitoring.
Partner closely with a firm's investment team to turn datasets into actionable insights by attending weekly pipeline meetings and working 1:1 with investment team leads to support the sourcing, selection and monitoring of all investment targets.
Build portfolio company dashboards to track all relevant KPIs and value creation metrics for existing portfolio investments.
Track and benchmark existing companies or investment alternatives in the pipeline by building a platform to help analyze datasets across all target investments.
Maintain and update all internal datasets for comparable valuation metrics across all investment team funds and strategies.
Work closely with the Technology and IT team to develop a best-in-class technology stack to enable the firm's data science practice.
Investigate data quality issues affecting investment analytics and risk metrics; coordinate resolution with other groups as required.
Promptly respond to investment data requests from key customers, including Traders, Portfolio Managers, and investment personnel.
Continually investigate new tools and techniques, as well as emerging standards to support investment data controls and operational readiness for investment mandates.
QUALIFICATIONS & REQUIREMENTS:
A Bachelor's Degree in Computer Science, Data Science, Engineering, Information Systems, or a related field.
Master's Degree in a quantitative field (e.g. Computer Science, Mathematics, Statistics, or other related field) is a plus.
6+ years of proven experience as a Data Scientist at a Hedge Fund, Investment Management firm or Family Office.
Proficiency in Python, R, and SQL as well as data visualization and dashboarding tools (e.g. Tableau, Looker, QlikView) and Big Data technologies such as Apache Spark and cloud computing platforms.
Hands-on expertise and knowledge of emerging data science techniques, technologies, and potential business applications for Machine Learning/Artificial Intelligence.
Demonstrated understanding of financial concepts, different asset classes, investment vehicles, security types, and application of data science in financial domain.
Comfort with high volumes of unstructured and structured data, with the ability to leverage multiple datasets to draw both granular and big picture conclusions
Strong written and spoken communications skills; ability to communicate ideas clearly and confidently, articulate issues and recommend solutions.
PERKS WITH US:
Become part of a well-funded disruptor in the finance and technology space
The ability to work remotely
Flexible hours and the ability to choose your assignments
Be part of a high-energy, thriving company in the early stages of expansion! We are growing our team, now is the time to join!
Job Status: Part-time/Contracted position
Visit us at Arootah.com for more information.
Job Type: Part-time
Show Less",Illinois,Unknown,Unknown / Non-Applicable,-1,Company - Public,-1,-1
145,Lead Data Scientist,-1,3.4,"Aspect Software Inc
3.4","Alvaria employs a team of passionate individuals who are changing the face of customer engagement. Over our 40-year history we have empowered employees by creating an inspired community that values Urgency, Accountability and Results. Our ability to think big has enabled us to continually evolve and lead the market, and to stay on the forefront with exciting technologies including cloud, mobile and artificial intelligence.

Job Description
Join Avlaria’s AI and ML team where you will define and shape the future of Customer experiences using advanced machine learning and deep learning technologies across our SaaS product lines. Leveraging the power of AI & ML on top of Alvaria’s enterprise customer data is crucial to the success of their mission critical solutions. This role will be a key thought leader, working to successfully deliver AI/ML engines and services into production so that they can add value across Alvaria’s best-in-breed public cloud product offering. The ideal candidate would have previous, Machine Learning experience, understanding of GPU architecture, and be willing to learn about new technologies.
The role will report to the Director of AI and ML Engineering.
Responsibilities
Utilize time series modeling and build ML applications by training on large, time-series datasets for forecasting and build models for optimizing Call center scheduling
Partner with cross functional team members to develop and maintain a well-defined roadmap, while balancing technological excellence.
Help lead and develop near and long-term forecasting algorithms that solve key business opportunities across different industries
Work on projects that will have a direct business impact as they are significant to the company
Work closely with other data scientists, AI engineers, data engineers within the team as well collaborate with product managers, software engineers
Qualifications
Qualifications
5+ years of hands-on experience building time series forecasting models leveraging machine learning, statistical, econometric, and/or hybrid models
5+ years of experience with machine learning engineering and data science workflows
5+ years of experience working on public cloud environments and associated deep understanding of ML tools and solutions within that stack, or open-source alternatives
Experience in using GPUs for training intensive compute jobs on extremely large datasets
Experience using modern Deep Learning software architectures and frameworks including Tensorflow or PyTorch
Implement best practices of curated data and evaluate ML models on very large-scale datasets
BS degree; MS or PhD in Computer Science, Statistics, Mathematics or Machine Learning preferred. We will consider equivalent practical experience.
Experience in delivering multiple complex technical projects within an Agile environment.
Experience with big data engineering tools such as Python, Spark, or comparable.
Experience creating and building models using ML libraries such as scikit-learn or comparable
Experience owning the entire lifecycle of a ML project from conception to deployment and monitoring
Develop high quality, maintainable and scalable production ready ML models.

Knowledge, Skills, And Abilities
Expertise in developing software on a public cloud platform (e.g. AWS, GCP, MS Azure etc.)
Expertise in developing software with stream processing technology (e.g. Kafka, AWS Kinesis etc.)
Proficiency with backend systems built using microservices, containerized infrastructure, and modern continuous delivery practices.
Outstanding written and verbal communication skills.

#LI-JL1
#LI-Remote
Alvaria is an equal opportunity/affirmative action employer with a strong commitment to diversity. In that spirit, we are particularly interested in receiving applications from a broad spectrum of people, including women, minorities, individuals with disabilities, veterans or any other legally protected group.
Show Less",Illinois,1001 to 5000 Employees,Company - Private,Information Technology,1972,Enterprise Software & Network Solutions,$100 to $500 million (USD)
146,"SME Data Scientist, TS/SCI with Polygraph, McLean, Va",$57K - $125K (Glassdoor est.),4.2,"Synertex
4.2","Clearance: TS/SCI with polygraph.
Position: 330
Apply directly for the Senior Data Scientist!
Synertex is seeking a SME Data Scientist with an active TS/SCI Clearance with Polygraph to support a newly awarded contract with the Office of the Director of National Intelligence in McLean, Va. Work is expected to begin in May 2022.
Benefits include 15 days PTO, 11 days Paid Government Holidays, a 401k with 6% matching and an inclusion in our employee profit sharing program.
The Data Scientist SME (DSS) will act as lead over other data scientists and data analysts. The DSS will leverage tools such as ServiceNow, JIRA, or similar ITSM tools to monitor and review team member assignments to ensure equitable use of resources, and to exercise quality control over tasks. Additionally, the DSS will meet with their team members daily in SCRUM fashion (10 mins) to provide an opportunity to hear risks and will mitigate as necessary.
The DSS is also responsible to ensure team members coordinate across teams as necessary to ensure more complex tasks successful, and to ensure team members embrace skill enhancement through mentoring and on-the-job training moments. Solutions requiring new software, methodologies, approaches, or other changes will be coordinated with the task lead and SME forums to ensure that all solutions are in compliance and are within the constraints of the ATO. Solution stack baselines (a list of pre-approved software and code) will be encouraged to eliminate unnecessary changes to baselines.
Responsibilities
Involved in the analysis of unstructured and semi-structured data, including latent semantic indexing (LSI), entity identification and tagging, complex event processing (CEP), and the application of analysis algorithms on distributed, clustered, and cloud-based high-performance infrastructures.
Exercises creativity in applying non-traditional approaches to large-scale analysis of unstructured data in support of high-value use cases visualized through multi-dimensional interfaces.
Handle processing and index requests against high-volume collections of data and high-velocity data streams.
Has the ability to utilize advance tools and computational skills to interpret, connect, predict, and make discoveries in complex data and deliver recommendations for business and analytic decisions.
Experience with machine learning, algorithm analysis, and data clustering. Work with visualization specialist to ensure output is captured to help understand complex problems.
Work with junior Data Scientist to elevate skills for breath and depth in the field.
Mandatory Qualifications
Active TS/SCI Clearance with Polygraph
No degree or years minimum required. Needs to be a SME in designated area.
Show Less",Illinois,51 to 200 Employees,Company - Private,Government & Public Administration,2016,National Agencies,Unknown / Non-Applicable
147,Data Scientist Analyst,$68K - $129K (Glassdoor est.),3.9,"Northern Trust Corp.
3.9","Data Scientist
Job Description
The Data Science Lab at Northern Trust performs data science research works closely with our business partners to develop custom models to problems that 1) are not adequately addressed by available commercial solutions, 2) enhance the customer and/or internal partner experience and 3) provide Northern Trust with a competitive advantage. We also serve to inspire and empower applied data science practitioners by facilitating high-quality data science education and collaboration within Northern Trust as well as with top universities and research institutions.
As a member on the team, a candidate will be expected to:
Develop software, typically in Python, to independently acquire data from disparate sources (databases, files, APIs, etc.) and combine them into training , validation & testing datasets
Analyze raw datasets using descriptive statistics, working directly with domain experts to understand the meaning of data fields
Build unit tests, data quality checks and data pipelines to ensure algorithms use trusted data
Develop and maintain an understanding of many algorithms across supervised learning, unsupervised learning, reinforcement learning and time series analysis
Propose and develop machine learning ensemble methods that exhibit the best out-of-sample characteristics possible given the input dataset
Utilize expertise in machine learning algorithms to tune algorithms using available hyper-parameters and carefully select feature subsets
Discover biases or leakage in datasets and ensure that train/test splits reflect realistic expectations of real world performance
Run large scale (either in parallel and/or distributed) training and inference jobs on private or public cloud infrastructure
Collaborate with business partners to understand desired business outcomes and explain issues, constraints and recommend needed process changes to data generation
Present findings to internal and external customers using both data science language (F1 scores, regression error, statistical significance, etc.) as well as business domain specific language gained from experience analyzing the data in scope
Provide guidance to other software development teams as Data Science Lab prototypes are engineered for full production environments
Work across multiple projects in a fluid environment where work is required across the full research lifecycle from forming a hypothesis, acquiring data, and developing ETL-style software to presenting findings
Plan and execute data science training sessions and hackathons
Work with external parties (vendors, universities, etc.) to incorporate new techniques and tools into the data science lab
Tools/Languages required: Python, Common Python libraries (NumPy ,pandas, sklearn, etc.), Linux based operating systems, and basic development tools (Python IDEs, source control, etc.)
Tools/Languages preferred: Advanced distributed machine learning frameworks (e.g. Keras, TF, etc.), Azure cloud infrastructure & Azure ML platform
Education required: Computer Science degree (undergraduate or graduate level) and strong statistical background
Preferred education: Data Science specific graduate work, Finance sector experience or coursework
About Northern Trust:
Northern Trust provides innovative financial services and guidance to corporations, institutions and affluent families and individuals globally. With more than 130 years of financial experience and over 20,000 partners, we serve the world’s most sophisticated clients using leading technology and exceptional service.
Working with Us:
As a Northern Trust partner, you will be part of a flexible and collaborative work culture, which has a strong history of financial strength and stability. Movement within the organization is encouraged, senior leaders are accessible, and you can take pride in working for a company that is committed to strengthening the communities we serve!
Show Less",Illinois,10000+ Employees,Company - Public,Financial Services,1889,Banking & Lending,$5 to $10 billion (USD)
148,UI Developer Data Scientist,-1,3.8,"ASRC Federal Holding Company
3.8","ASRC Federal is seeking a Full Stack Software Engineer to join Software, Applications and Analytics Center of Excellence (CoE) and become a key member of the development team that develops Cloud Based analytics solutions for our government customers including NOAA NESDIS, NASA, DoD etc. This CoE is responsible for designing, developing, and delivering solutions and services to our customers as well as our internal growth and execution-focused teams.

This is a remote full-time position.
We’re looking for person(s) eager to get in on the ground floor of a growth-focused organization and to work with an established team in a flexible and enjoyable work environment.
The successful candidate will initially join an existing project team and develop custom cloud-based applications for the National Oceanic and Atmospheric Administration (NOAA), National Environmental Satellite, Data and Information Service (NESDIS) organization. NOAA/NESDIS provides secure and timely access to global environmental data and information from satellites and other sources to promote and protect the Nation's security, environment, economy, and quality of life. The work is in a fast-paced, high visibility with regular interaction with all levels of the organization, including NESDIS Senior Executives. The team is currently developing software solutions leveraging modern technologies and processes including DevSecOps, microservices, and AI/ML solutions.

Basic Qualifications:
Bachelor's Degree in Engineering, Information Technology, Computer Science, or related discipline.
12 years of experience in development of production level code or similar experience (advanced degrees may be substituted for experience: Masters = 2, Doctorate = 4)
3-5+ years of experience with Java, C++, Go, JavaScript/TypeScript, or Python programming languages
Experience with Agile workflow methodologies, containerization technologies such as Docker, Kubernetes, web-based frameworks such as Angular, React, or Vue.js
Experience developing and deploying software solutions as Microservices with containerized environments as well as software within automated DevSecOps pipelines using containerized environments
Experience with automated test and performance evaluation strategies for microservices
Understanding of cloud-based technologies and architectures
Familiarity with various database technologies such as MariaDB, PostgreSQL, MongoDB or ElasticSearch.
Exposure to working with web servers, such as Apache, Tomcat, or nginx.
US Citizenship in order to be able to obtain a Secret Clearance Required

Additional Preferred skills/experience:
Specific experience with the data science and analytics landscape within the Department of Defense, Space, Federal Civilian Agencies, and the Federal Health Care environment.
Experience working with potential customers and internal teams to assess their business and technical needs.
Experience with programming languages such as Python, Java, C and C++ programming languages. Kubernetes, Docker, Bash, YAML, SQL, SPARQL, MATLAB
Understanding of the latest development practices such as:
DevOps, MLOps, Technical Documentation, Software Project Management, Systems Analysis and Design, Algorithm Design, Agile Methodology, Application Security, Web Ontologies, Knowledge Graphs, Deep Learning, Reverse Code Engineering
Show Less",Illinois,5001 to 10000 Employees,Company - Private,Aerospace & Defense,2003,Aerospace & Defense,$1 to $2 billion (USD)
